Comment,Designator,Footprint,LCSC
100 nF,C2,C_0603_1608Metric,C14663
USBLC6-2P6,U2,SOT-666,C15999
47nF,C6,C_0603_1608Metric,C1622
TYPE-C-31-M-12,J1,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,C165948
 4.7μF,C3,C_0603_1608Metric,C19666
10μF,C4,C_0603_1608Metric,C19702
DMG1012T,Q1,SOT-523,C20512
91,"R10,R9",R_0603_1608Metric,C22775
8.2,"R11,R4",R_0603_1608Metric,C22859
LED,D2,LED_0805_2012Metric,C2296
4.7k,"R12,R13",R_0603_1608Metric,C23162
5.1k,"R1,R2,R7",R_0603_1608Metric,C23186
10k,R14,R_0603_1608Metric,C25804
K2-1157SP,SW1,K2-1157SP,C2909692
ATtiny3226-M,U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,C3216895
20k,R8,R_0603_1608Metric,C4184
2.2k,R3,R_0603_1608Metric,C4190
68,"R5,R6",R_0603_1608Metric,C4275
10 nF,C1,C_0603_1608Metric,C57112
20μF,C5,C_0603_1608Metric,C59461
BQ25628RYKR,U3,RYK0018A-MFG,C6055599
1 μH,L1,L_0805_2012Metric,C7588890
180,R15,R_0603_1608Metric,C8218
Conn_01x12_Pin,J2,PinHeader_1x12_P2.54mm_Vertical,
LED_ARGB_150066M153000,D1,150066M153000,
Conn_01x12_Pin,J3,PinHeader_1x12_P2.54mm_Vertical,
